order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,38.708126,0.000001,38.708128
2,ordered_paint_motion_chain,,false,false,28.253093,0.000035,28.253128
3,pickup_plan_build,refresh_runtime_config,true,false,0.000020,0.000043,0.000063
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000014,0.000072,0.000086
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000012,0.000123,0.000134
6,pickup_plan_build,project_initial_pivot_path,true,false,0.158570,0.000165,0.158735
7,pickup_plan_build,project_carried_rotation_path,true,false,0.168371,0.158955,0.327325
8,vacuum_on,,true,false,0.000039,0.327767,0.327806
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000019,0.327817,0.327837
10,execute_paint_contact_paths,,true,false,0.015791,0.327843,0.343634
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000040,0.327846,0.327887
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000229,0.327901,0.328130
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000387,0.328163,0.328551
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000876,0.328597,0.329473
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000310,0.330079,0.330389
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.012885,0.330401,0.343286
17,return_after_paint_process,,true,false,10.454979,28.253143,38.708122
18,move_to_calibration_position,,true,false,10.454971,28.253146,38.708117
19,unwind_joint6_before_calibration_return,,true,false,3.620097,28.253147,31.873244
20,move_with_z_offset,CALIBRATION,true,false,6.834833,31.873269,38.708102
