order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,30.819518,0.000002,30.819520
2,ordered_paint_motion_chain,,false,false,29.463189,0.000035,29.463224
3,pickup_plan_build,refresh_runtime_config,true,false,0.000027,0.000045,0.000072
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000016,0.000083,0.000099
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000013,0.000153,0.000166
6,pickup_plan_build,project_initial_pivot_path,true,false,0.163892,0.000206,0.164098
7,pickup_plan_build,project_carried_rotation_path,true,false,0.183535,0.164289,0.347824
8,vacuum_on,,true,false,0.000041,0.348294,0.348335
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000018,0.348348,0.348366
10,execute_paint_contact_paths,,true,false,0.014867,0.348375,0.363241
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000043,0.348379,0.348422
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000259,0.348436,0.348695
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000123,0.348726,0.348849
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000354,0.348882,0.349236
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000420,0.349723,0.350143
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.012779,0.350152,0.362931
17,return_after_paint_process,,true,false,1.356275,29.463238,30.819513
18,move_to_calibration_position,,false,false,1.356228,29.463241,30.819469
19,unwind_joint6_before_calibration_return,,false,false,1.356213,29.463242,30.819455
