order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,29.190314,0.000003,29.190316
2,ordered_paint_motion_chain,,false,false,22.925116,0.000050,22.925166
3,pickup_plan_build,refresh_runtime_config,true,false,0.000032,0.000061,0.000093
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000023,0.000106,0.000129
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000017,0.000196,0.000212
6,pickup_plan_build,project_initial_pivot_path,true,false,0.098622,0.000273,0.098895
7,pickup_plan_build,project_carried_rotation_path,true,false,0.151063,0.099072,0.250135
8,vacuum_on,,true,false,0.000044,0.250718,0.250762
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000024,0.250776,0.250800
10,execute_paint_contact_paths,,true,false,0.012171,0.250806,0.262978
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000040,0.250810,0.250850
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000259,0.250864,0.251123
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000089,0.251157,0.251246
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000330,0.251280,0.251610
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000332,0.252007,0.252339
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.010339,0.252353,0.262692
17,return_after_paint_process,,true,false,6.265132,22.925179,29.190312
18,move_to_calibration_position,,true,false,6.265124,22.925183,29.190307
19,unwind_joint6_before_calibration_return,,true,false,4.536729,22.925184,27.461913
20,move_with_z_offset,CALIBRATION,true,false,1.728357,27.461937,29.190294
