order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,20.276843,0.000002,20.276846
2,ordered_paint_motion_chain,,false,false,12.053279,0.000039,12.053318
3,pickup_plan_build,refresh_runtime_config,true,false,0.000023,0.000050,0.000073
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000017,0.000081,0.000098
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000021,0.000177,0.000198
6,pickup_plan_build,project_initial_pivot_path,true,false,0.158258,0.000649,0.158907
7,pickup_plan_build,project_carried_rotation_path,true,false,0.192743,0.159188,0.351931
8,vacuum_on,,true,false,0.000063,0.352497,0.352560
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000020,0.352575,0.352594
10,execute_paint_contact_paths,,true,false,0.016715,0.352602,0.369317
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000058,0.352606,0.352665
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000290,0.352691,0.352981
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000121,0.353031,0.353152
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.001017,0.353194,0.354211
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000361,0.354705,0.355066
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.013810,0.355079,0.368889
17,return_after_paint_process,,true,false,8.223497,12.053339,20.276835
18,move_to_calibration_position,,true,false,8.223481,12.053346,20.276827
19,unwind_joint6_before_calibration_return,,true,false,0.016508,12.053347,12.069855
20,move_with_z_offset,CALIBRATION,true,false,8.206917,12.069888,20.276806
