order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,12.617102,0.000002,12.617105
2,ordered_paint_motion_chain,,false,false,10.298969,0.000040,10.299009
3,pickup_plan_build,refresh_runtime_config,true,false,0.000024,0.000052,0.000076
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000016,0.000087,0.000103
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000012,0.000147,0.000159
6,pickup_plan_build,project_initial_pivot_path,true,false,0.125674,0.000199,0.125872
7,pickup_plan_build,project_carried_rotation_path,true,false,0.147718,0.126149,0.273867
8,vacuum_on,,true,false,0.000026,0.274298,0.274324
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000024,0.274339,0.274363
10,execute_paint_contact_paths,,true,false,0.012545,0.274371,0.286916
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000088,0.274376,0.274465
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000254,0.274489,0.274742
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000095,0.274783,0.274878
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000378,0.274916,0.275293
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000572,0.275668,0.276240
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.010391,0.276250,0.286642
17,return_after_paint_process,,true,false,2.318068,10.299030,12.617098
18,move_to_calibration_position,,true,false,2.318055,10.299036,12.617092
19,unwind_joint6_before_calibration_return,,true,false,0.015250,10.299038,10.314288
20,move_with_z_offset,CALIBRATION,true,false,2.302753,10.314321,12.617074
