order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,26.157275,0.000004,26.157279
2,ordered_paint_motion_chain,,false,false,20.037514,0.000062,20.037576
3,pickup_plan_build,refresh_runtime_config,true,false,0.000039,0.000076,0.000115
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000033,0.000130,0.000162
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000026,0.000264,0.000291
6,pickup_plan_build,project_initial_pivot_path,true,false,0.115635,0.000364,0.115999
7,pickup_plan_build,project_carried_rotation_path,true,false,0.110411,0.116266,0.226677
8,vacuum_on,,true,false,0.000035,0.227135,0.227170
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000020,0.227183,0.227203
10,execute_paint_contact_paths,,true,false,0.013851,0.227209,0.241060
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000040,0.227213,0.227253
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000234,0.227267,0.227501
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000087,0.227531,0.227618
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000775,0.227650,0.228425
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000433,0.228767,0.229199
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.011571,0.229208,0.240778
17,return_after_paint_process,,true,false,6.119682,20.037591,26.157273
18,move_to_calibration_position,,true,false,6.119673,20.037595,26.157268
19,unwind_joint6_before_calibration_return,,true,false,4.546207,20.037596,24.583803
20,move_with_z_offset,CALIBRATION,true,false,1.573427,24.583827,26.157254
