order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,7.396046,0.000002,7.396049
2,ordered_paint_motion_chain,,false,false,5.253159,0.000043,5.253202
3,pickup_plan_build,refresh_runtime_config,true,false,0.000024,0.000053,0.000077
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000014,0.000085,0.000099
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000009,0.000138,0.000147
6,pickup_plan_build,project_initial_pivot_path,true,false,0.100763,0.000178,0.100941
7,pickup_plan_build,project_carried_rotation_path,true,false,0.098342,0.101137,0.199479
8,vacuum_on,,true,false,0.000032,0.199898,0.199930
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000015,0.199941,0.199957
10,execute_paint_contact_paths,,true,false,0.009328,0.199962,0.209290
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000033,0.199965,0.199998
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000183,0.200011,0.200194
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000072,0.200217,0.200289
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000723,0.200314,0.201037
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000234,0.201269,0.201503
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.007557,0.201510,0.209067
17,return_after_paint_process,,true,false,2.142827,5.253217,7.396045
18,move_to_calibration_position,,true,false,2.142820,5.253221,7.396040
19,unwind_joint6_before_calibration_return,,true,false,0.006684,5.253221,5.259905
20,move_with_z_offset,CALIBRATION,true,false,2.136086,5.259942,7.396028
