order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,31.346354,0.000003,31.346357
2,ordered_paint_motion_chain,,true,false,29.910514,0.000052,29.910566
3,pickup_plan_build,refresh_runtime_config,true,false,0.000031,0.000066,0.000097
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000021,0.000111,0.000132
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000015,0.000187,0.000202
6,pickup_plan_build,project_initial_pivot_path,true,false,0.104621,0.000246,0.104867
7,pickup_plan_build,project_carried_rotation_path,true,false,0.103513,0.105076,0.208589
8,vacuum_on,,true,false,0.000030,0.208969,0.208999
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000025,0.209015,0.209040
10,execute_paint_contact_paths,,true,false,0.013010,0.209048,0.222057
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000054,0.209053,0.209107
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000234,0.209132,0.209366
13,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000307,0.209390,0.209698
14,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000278,0.210133,0.210411
15,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.011370,0.210421,0.221791
16,pre_release_dropoff,,true,false,0.000328,29.910581,29.910909
17,vacuum_off,,true,false,0.000023,29.910675,29.910698
18,return_after_paint_process,,true,false,1.435328,29.911024,31.346353
19,move_to_calibration_position,,true,false,1.435319,29.911029,31.346348
20,unwind_joint6_before_calibration_return,,true,false,0.006278,29.911031,29.917309
21,move_with_z_offset,CALIBRATION,true,false,1.428986,29.917346,31.346332
