order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,32.516967,0.000003,32.516971
2,ordered_paint_motion_chain,,true,false,31.357576,0.000041,31.357618
3,pickup_plan_build,refresh_runtime_config,true,false,0.000024,0.000056,0.000080
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000018,0.000090,0.000107
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000014,0.000150,0.000164
6,pickup_plan_build,project_initial_pivot_path,true,false,0.169992,0.000196,0.170189
7,pickup_plan_build,project_carried_rotation_path,true,false,0.179538,0.170437,0.349974
8,vacuum_on,,true,false,0.000037,0.350447,0.350484
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000019,0.350497,0.350516
10,execute_paint_contact_paths,,true,false,0.018683,0.350538,0.369221
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000040,0.350544,0.350585
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000342,0.350606,0.350947
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000099,0.350992,0.351090
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000398,0.351130,0.351528
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000419,0.352460,0.352879
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.015944,0.352892,0.368836
17,pre_release_dropoff,,true,false,0.000123,31.357631,31.357754
18,vacuum_off,,true,false,0.000018,31.357712,31.357730
19,return_after_paint_process,,true,false,1.159183,31.357782,32.516965
20,move_to_calibration_position,,true,false,1.159174,31.357786,32.516960
21,unwind_joint6_before_calibration_return,,true,false,0.019393,31.357787,31.377181
22,move_with_z_offset,CALIBRATION,true,false,1.139742,31.377203,32.516945
