order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,42.319565,0.000004,42.319569
2,ordered_paint_motion_chain,,true,false,38.941239,0.000085,38.941324
3,pickup_plan_build,refresh_runtime_config,true,false,0.000052,0.000104,0.000156
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000034,0.000176,0.000210
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000043,0.004965,0.005008
6,pickup_plan_build,project_initial_pivot_path,true,false,1.323411,0.011059,1.334470
7,pickup_plan_build,project_carried_rotation_path,true,false,1.036673,1.334768,2.371441
8,vacuum_on,,true,false,0.000050,2.371990,2.372040
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000028,2.372057,2.372086
10,execute_paint_contact_paths,,true,false,0.100887,2.372096,2.472983
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000061,2.372102,2.372163
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.002706,2.372192,2.374898
13,paint_contact_job_prepare,job_1:build_command_path,true,false,0.001185,2.374932,2.376117
14,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000408,2.387485,2.387893
15,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.084546,2.387912,2.472458
16,pre_release_dropoff,,true,false,0.000179,38.941344,38.941523
17,vacuum_off,,true,false,0.000044,38.941432,38.941477
18,return_after_paint_process,,true,false,3.377988,38.941574,42.319562
19,move_to_calibration_position,,true,false,3.377976,38.941580,42.319555
20,unwind_joint6_before_calibration_return,,true,false,0.014267,38.941581,38.955848
21,move_with_z_offset,CALIBRATION,true,false,3.363663,38.955873,42.319536
