order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,31.835509,0.000002,31.835511
2,ordered_paint_motion_chain,,true,false,30.204273,0.000052,30.204325
3,pickup_plan_build,refresh_runtime_config,true,false,0.000033,0.000064,0.000097
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000021,0.000110,0.000131
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000017,0.000202,0.000219
6,pickup_plan_build,project_initial_pivot_path,true,false,0.157096,0.000283,0.157379
7,pickup_plan_build,project_carried_rotation_path,true,false,0.166198,0.157635,0.323833
8,vacuum_on,,true,false,0.000031,0.324335,0.324366
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000020,0.324375,0.324395
10,execute_paint_contact_paths,,true,false,0.011344,0.324401,0.335745
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000033,0.324404,0.324437
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000246,0.324450,0.324696
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000102,0.324728,0.324829
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000636,0.324857,0.325493
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000281,0.325897,0.326178
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.009202,0.326185,0.335387
17,pre_release_dropoff,,true,false,0.000284,30.204340,30.204625
18,vacuum_off,,true,false,0.000047,30.204522,30.204570
19,return_after_paint_process,,true,false,1.630807,30.204699,31.835506
20,move_to_calibration_position,,true,false,1.630799,30.204701,31.835501
21,unwind_joint6_before_calibration_return,,true,false,0.006861,30.204702,30.211563
22,move_with_z_offset,CALIBRATION,true,false,1.623896,30.211591,31.835487
