order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,34.125493,0.000003,34.125496
2,ordered_paint_motion_chain,,true,false,31.166824,0.000045,31.166868
3,pickup_plan_build,refresh_runtime_config,true,false,0.000026,0.000054,0.000080
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000018,0.000091,0.000109
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000013,0.000157,0.000170
6,pickup_plan_build,project_initial_pivot_path,true,false,0.109067,0.000205,0.109272
7,pickup_plan_build,project_carried_rotation_path,true,false,0.126454,0.109464,0.235918
8,vacuum_on,,true,false,0.000033,0.236393,0.236426
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000019,0.236438,0.236457
10,execute_paint_contact_paths,,true,false,0.011619,0.236463,0.248082
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000038,0.236468,0.236505
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000307,0.236520,0.236827
13,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000430,0.236872,0.237301
14,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000152,0.237664,0.237816
15,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.009834,0.237827,0.247660
16,pre_release_dropoff,,true,false,1.472709,31.166878,32.639588
17,pickup_phase,Returning to align pose for release,true,false,1.472591,31.166936,32.639526
18,vacuum_off,,true,false,0.000022,32.639539,32.639561
19,return_after_paint_process,,true,false,1.485876,32.639615,34.125491
20,move_to_calibration_position,,true,false,1.485869,32.639617,34.125486
21,unwind_joint6_before_calibration_return,,true,false,0.005657,32.639618,32.645275
22,move_with_z_offset,CALIBRATION,true,false,1.480174,32.645298,34.125472
