order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,18.744732,0.000002,18.744735
2,ordered_paint_motion_chain,,false,false,11.850744,0.000036,11.850780
3,pickup_plan_build,refresh_runtime_config,true,false,0.000020,0.000047,0.000067
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000020,0.000075,0.000095
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000011,0.000137,0.000148
6,pickup_plan_build,project_initial_pivot_path,true,false,0.136273,0.000181,0.136454
7,pickup_plan_build,project_carried_rotation_path,true,false,0.150985,0.136629,0.287614
8,vacuum_on,,true,false,0.000029,0.288065,0.288094
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000017,0.288105,0.288123
10,execute_paint_contact_paths,,true,false,0.012804,0.288130,0.300934
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000035,0.288133,0.288168
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000206,0.288185,0.288391
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000089,0.288420,0.288510
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000520,0.288538,0.289057
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000389,0.289336,0.289725
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.010896,0.289733,0.300629
17,return_after_paint_process,,true,false,6.893929,11.850800,18.744729
18,move_to_calibration_position,,true,false,6.893917,11.850808,18.744725
19,unwind_joint6_before_calibration_return,,true,false,0.004867,11.850810,11.855677
20,move_with_z_offset,CALIBRATION,true,false,6.889012,11.855700,18.744712
