order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,39.579365,0.000003,39.579369
2,ordered_paint_motion_chain,,true,false,39.579133,0.000058,39.579191
3,pickup_plan_build,refresh_process_config,true,false,0.000030,0.000070,0.000100
4,pickup_plan_build,refresh_runtime_config,true,false,0.000038,0.000113,0.000151
5,pickup_plan_build,resolve_pickup_base_position,true,false,0.000020,0.000159,0.000180
6,pickup_plan_build,resolve_paint_base_position,true,false,0.000015,0.000241,0.000256
7,pickup_plan_build,project_initial_pivot_path,true,false,0.698104,0.000296,0.698400
8,pickup_plan_build,project_carried_rotation_path,true,false,0.531565,0.698638,1.230202
9,vacuum_on,,true,false,0.000017,1.230538,1.230555
10,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000014,1.230565,1.230578
11,execute_paint_contact_paths,,true,false,0.065749,1.230584,1.296333
12,paint_contact_prepare,refresh_runtime_config,true,false,0.000034,1.230588,1.230621
13,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000237,1.230638,1.230875
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000233,1.230891,1.231124
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.002580,1.231361,1.233941
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.058968,1.233955,1.292923
17,pre_release_dropoff,,true,false,0.000131,39.579202,39.579333
18,vacuum_off,,true,false,0.000025,39.579289,39.579314
19,return_after_paint_process,,true,false,0.000011,39.579354,39.579365
