order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,54.652879,0.000002,54.652881
2,ordered_paint_motion_chain,,false,false,40.277403,0.000036,40.277439
3,pickup_plan_build,refresh_runtime_config,true,false,0.000019,0.000044,0.000063
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000019,0.000072,0.000091
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000012,0.000134,0.000146
6,pickup_plan_build,project_initial_pivot_path,true,false,0.175087,0.000177,0.175264
7,pickup_plan_build,project_carried_rotation_path,true,false,0.208598,0.175472,0.384070
8,vacuum_on,,true,false,0.000156,0.384693,0.384849
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000075,0.384874,0.384950
10,execute_paint_contact_paths,,true,false,0.013365,0.384962,0.398327
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000063,0.384968,0.385031
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000454,0.385054,0.385508
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000238,0.385597,0.385835
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000789,0.385922,0.386710
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000370,0.387149,0.387519
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.010433,0.387533,0.397965
17,return_after_paint_process,,true,false,14.375421,40.277454,54.652875
18,move_to_calibration_position,,true,false,14.375413,40.277457,54.652870
19,unwind_joint6_before_calibration_return,,true,false,8.036648,40.277458,48.314106
20,move_with_z_offset,CALIBRATION,true,false,6.338726,48.314130,54.652856
