order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,31.470797,0.000003,31.470800
2,ordered_paint_motion_chain,,true,false,29.724385,0.000040,29.724425
3,pickup_plan_build,refresh_runtime_config,true,false,0.000024,0.000052,0.000076
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000014,0.000086,0.000101
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000011,0.000147,0.000158
6,pickup_plan_build,project_initial_pivot_path,true,false,0.097746,0.000194,0.097941
7,pickup_plan_build,project_carried_rotation_path,true,false,0.115727,0.098157,0.213884
8,vacuum_on,,true,false,0.042885,0.214254,0.257139
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000047,0.257162,0.257208
10,execute_paint_contact_paths,,true,false,0.013100,0.257220,0.270320
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000094,0.257226,0.257320
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000386,0.257364,0.257750
13,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000426,0.257781,0.258207
14,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000386,0.258559,0.258944
15,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.011068,0.258958,0.270026
16,pre_release_dropoff,,true,false,0.264879,29.724438,29.989317
17,vacuum_off,,true,false,0.264506,29.724567,29.989073
18,return_after_paint_process,,true,false,1.481389,29.989403,31.470792
19,move_to_calibration_position,,true,false,1.481372,29.989412,31.470784
20,unwind_joint6_before_calibration_return,,true,false,0.007713,29.989414,29.997126
21,move_with_z_offset,CALIBRATION,true,false,1.473600,29.997160,31.470760
