order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,18.941409,0.000003,18.941412
2,ordered_paint_motion_chain,,false,false,11.674427,0.000068,11.674495
3,pickup_plan_build,refresh_runtime_config,true,false,0.000054,0.000123,0.000177
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000021,0.000192,0.000213
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000015,0.000291,0.000306
6,pickup_plan_build,project_initial_pivot_path,true,false,0.146285,0.000350,0.146635
7,pickup_plan_build,project_carried_rotation_path,true,false,0.140852,0.146914,0.287766
8,vacuum_on,,true,false,0.000024,0.288225,0.288249
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000023,0.288265,0.288287
10,execute_paint_contact_paths,,true,false,0.014545,0.288296,0.302841
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000059,0.288300,0.288360
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000400,0.288382,0.288782
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000151,0.288861,0.289011
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000383,0.289108,0.289490
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000712,0.290022,0.290734
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.011805,0.290749,0.302554
17,return_after_paint_process,,true,false,7.266897,11.674510,18.941407
18,move_to_calibration_position,,true,false,7.266888,11.674514,18.941402
19,unwind_joint6_before_calibration_return,,true,false,0.009867,11.674516,11.684383
20,move_with_z_offset,CALIBRATION,true,false,7.256968,11.684418,18.941386
