order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,18.581463,0.000003,18.581466
2,ordered_paint_motion_chain,,false,false,11.885041,0.000042,11.885082
3,pickup_plan_build,refresh_runtime_config,true,false,0.000025,0.000053,0.000078
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000017,0.000089,0.000106
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000013,0.000151,0.000164
6,pickup_plan_build,project_initial_pivot_path,true,false,0.157947,0.000204,0.158151
7,pickup_plan_build,project_carried_rotation_path,true,false,0.169826,0.158343,0.328169
8,vacuum_on,,true,false,0.000021,0.328541,0.328561
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000017,0.328575,0.328592
10,execute_paint_contact_paths,,true,false,0.012368,0.328599,0.340967
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000042,0.328603,0.328645
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000299,0.328662,0.328961
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000276,0.329000,0.329277
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000382,0.329321,0.329703
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000454,0.330249,0.330703
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.009966,0.330715,0.340681
17,return_after_paint_process,,true,false,6.696358,11.885102,18.581461
18,move_to_calibration_position,,true,false,6.696347,11.885109,18.581456
19,unwind_joint6_before_calibration_return,,true,false,0.010781,11.885110,11.895891
20,move_with_z_offset,CALIBRATION,true,false,6.685525,11.895916,18.581441
