order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,true,false,53.264516,0.000004,53.264521
2,ordered_paint_motion_chain,,true,false,50.189946,0.000073,50.190019
3,pickup_plan_build,refresh_runtime_config,true,false,0.000050,0.000090,0.000140
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000024,0.000157,0.000181
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000020,0.000258,0.000278
6,pickup_plan_build,project_initial_pivot_path,true,false,0.196754,0.000336,0.197090
7,pickup_plan_build,project_carried_rotation_path,true,false,0.161937,0.197297,0.359234
8,vacuum_on,,true,false,0.000029,0.359579,0.359608
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000024,0.359624,0.359648
10,execute_paint_contact_paths,,true,false,0.036807,0.359657,0.396464
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000066,0.359662,0.359727
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000416,0.359752,0.360168
13,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000670,0.360194,0.360864
14,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000413,0.361377,0.361790
15,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.034361,0.361804,0.396165
16,pre_release_dropoff,,true,false,0.000146,50.190035,50.190181
17,vacuum_off,,true,false,0.000031,50.190110,50.190141
18,return_after_paint_process,,true,false,3.074287,50.190225,53.264512
19,move_to_calibration_position,,true,false,3.074274,50.190231,53.264505
20,unwind_joint6_before_calibration_return,,true,false,0.007705,50.190232,50.197937
21,move_with_z_offset,CALIBRATION,true,false,3.066528,50.197960,53.264488
