order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,23.830962,0.000002,23.830965
2,ordered_paint_motion_chain,,false,false,18.161286,0.000041,18.161327
3,pickup_plan_build,refresh_runtime_config,true,false,0.000021,0.000051,0.000071
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000014,0.000081,0.000095
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000011,0.000128,0.000139
6,pickup_plan_build,project_initial_pivot_path,true,false,0.093861,0.000167,0.094028
7,pickup_plan_build,project_carried_rotation_path,true,false,0.098756,0.094314,0.193071
8,vacuum_on,,true,false,0.000065,0.193535,0.193600
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000027,0.193615,0.193642
10,execute_paint_contact_paths,,true,false,0.013004,0.193649,0.206653
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000050,0.193654,0.193704
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000634,0.193721,0.194355
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000074,0.194414,0.194487
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000311,0.194517,0.194828
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000258,0.195823,0.196081
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.010142,0.196093,0.206235
17,return_after_paint_process,,true,false,5.669616,18.161342,23.830958
18,move_to_calibration_position,,true,false,5.669602,18.161346,23.830948
19,unwind_joint6_before_calibration_return,,true,false,4.241383,18.161347,22.402730
20,move_with_z_offset,CALIBRATION,true,false,1.428082,22.402760,23.830842
