order,step,label,success,exception,elapsed_s,start_offset_s,end_offset_s
1,paint_process,,false,false,29.125465,0.000002,29.125468
2,ordered_paint_motion_chain,,false,false,27.774662,0.000077,27.774740
3,pickup_plan_build,refresh_runtime_config,true,false,0.000042,0.000116,0.000159
4,pickup_plan_build,resolve_pickup_base_position,true,false,0.000025,0.000176,0.000201
5,pickup_plan_build,resolve_paint_base_position,true,false,0.000014,0.000263,0.000277
6,pickup_plan_build,project_initial_pivot_path,true,false,0.149214,0.000317,0.149532
7,pickup_plan_build,project_carried_rotation_path,true,false,0.166834,0.149725,0.316559
8,vacuum_on,,true,false,0.000020,0.316937,0.316956
9,pickup_phase,Changing plane combined with first pivot contact pose,true,false,0.000016,0.316968,0.316983
10,execute_paint_contact_paths,,true,false,0.013420,0.316989,0.330409
11,paint_contact_prepare,refresh_runtime_config,true,false,0.000043,0.316992,0.317035
12,paint_contact_job_prepare,job_1:build_execution_path,true,false,0.000219,0.317052,0.317271
13,paint_contact_job_prepare,job_1:shift_xz_ry_rotation,true,false,0.000079,0.317300,0.317379
14,paint_contact_job_prepare,job_1:build_command_path,true,false,0.000315,0.317407,0.317722
15,paint_contact_job_debug,job_1:build_diagnostics,true,false,0.000582,0.317993,0.318575
16,paint_contact_job_debug,job_1:write_debug_dump,true,false,0.011490,0.318584,0.330074
17,return_after_paint_process,,true,false,1.350707,27.774756,29.125463
18,move_to_calibration_position,,false,false,1.350667,27.774763,29.125431
19,unwind_joint6_before_calibration_return,,false,false,1.350656,27.774764,29.125420
