454.321, 542.860
460.237, 376.552
460.237, 376.552
460.394, 374.224
460.394, 374.224
460.698, 371.914
460.698, 371.914
461.148, 369.630
461.148, 369.630
461.743, 367.382
461.743, 367.382
462.479, 365.181
462.479, 365.181
463.353, 363.035
463.353, 363.035
464.362, 360.954
464.362, 360.954
465.501, 358.946
465.501, 358.946
466.766, 357.021
466.766, 357.021
468.151, 355.186
468.151, 355.186
469.650, 353.449
469.650, 353.449
471.257, 351.818
471.257, 351.818
472.965, 350.300
472.965, 350.300
474.766, 348.901
474.766, 348.901
476.652, 347.628
476.652, 347.628
478.617, 346.485
478.617, 346.485
480.651, 345.477
480.651, 345.477
482.745, 344.610
482.745, 344.610
484.891, 343.886
484.891, 343.886
487.080, 343.308
487.080, 343.308
489.302, 342.880
489.302, 342.880
491.547, 342.603
491.547, 342.603
493.806, 342.478
493.806, 342.478
496.069, 342.506
496.069, 342.506
703.457, 352.058
703.457, 352.058
705.715, 352.239
705.715, 352.239
707.958, 352.571
707.958, 352.571
710.176, 353.054
710.176, 353.054
712.360, 353.685
712.360, 353.685
714.500, 354.461
714.500, 354.461
716.588, 355.380
716.588, 355.380
718.614, 356.438
718.614, 356.438
720.569, 357.629
720.569, 357.629
722.446, 358.949
722.446, 358.949
724.237, 360.392
724.237, 360.392
725.932, 361.952
725.932, 361.952
727.527, 363.622
727.527, 363.622
729.012, 365.395
729.012, 365.395
730.383, 367.264
730.383, 367.264
731.633, 369.220
731.633, 369.220
732.757, 371.256
732.757, 371.256
733.750, 373.361
733.750, 373.361
734.608, 375.529
734.608, 375.529
735.327, 377.748
735.327, 377.748
735.904, 380.010
735.904, 380.010
736.337, 382.305
736.337, 382.305
736.624, 384.622
736.624, 384.622
736.763, 386.953
736.763, 386.953
736.754, 389.288
736.754, 389.288
730.838, 555.596
730.838, 555.596
730.681, 557.923
730.681, 557.923
730.377, 560.234
730.377, 560.234
729.927, 562.518
729.927, 562.518
729.332, 564.765
729.332, 564.765
728.596, 566.967
728.596, 566.967
727.722, 569.112
727.722, 569.112
726.713, 571.194
726.713, 571.194
725.574, 573.201
725.574, 573.201
724.309, 575.127
724.309, 575.127
722.924, 576.962
722.924, 576.962
721.425, 578.698
721.425, 578.698
719.818, 580.329
719.818, 580.329
718.111, 581.847
718.111, 581.847
716.310, 583.246
716.310, 583.246
714.423, 584.520
714.423, 584.520
712.458, 585.663
712.458, 585.663
710.424, 586.670
710.424, 586.670
708.330, 587.538
708.330, 587.538
706.184, 588.262
706.184, 588.262
703.995, 588.839
703.995, 588.839
701.774, 589.267
701.774, 589.267
699.529, 589.544
699.529, 589.544
697.269, 589.669
697.269, 589.669
695.006, 589.641
695.006, 589.641
487.618, 580.089
487.618, 580.089
485.360, 579.909
485.360, 579.909
483.117, 579.577
483.117, 579.577
480.899, 579.094
480.899, 579.094
478.715, 578.463
478.715, 578.463
476.575, 577.686
476.575, 577.686
474.487, 576.767
474.487, 576.767
472.461, 575.710
472.461, 575.710
470.506, 574.519
470.506, 574.519
468.629, 573.199
468.629, 573.199
466.839, 571.756
466.839, 571.756
465.143, 570.196
465.143, 570.196
463.549, 568.526
463.549, 568.526
462.063, 566.752
462.063, 566.752
460.692, 564.883
460.692, 564.883
459.442, 562.927
459.442, 562.927
458.318, 560.892
458.318, 560.892
457.325, 558.786
457.325, 558.786
456.467, 556.619
456.467, 556.619
455.748, 554.400
455.748, 554.400
455.171, 552.138
455.171, 552.138
454.738, 549.843
454.738, 549.843
454.451, 547.525
454.451, 547.525
454.312, 545.194
454.312, 545.194
454.321, 542.860
